10,8
5,5,2,1,0,0,0,5,5,1
0,1,1,2,0,0,5,0,0,5
2,1,5,5,1,5,0,5,1,5
0,4,3,0,2,0,5,1,3,1
5,5,5,5,0,3,3,0,1,5
5,0,2,5,4,5,5,1,4,5
5,4,2,1,0,5,0,4,1,1
5,0,0,0,5,3,1,0,2,5
STATION:9,4:渋谷
STATION:9,5:横浜
STATION:6,8:渋谷
STATION:9,7:八王子
STATION:7,9:東京
STATION:0,0:新宿
STATION:1,0:池袋|よどばしカメラ,10000,0.5|タワー,5000,0.2
STATION:2,2:東京
STATION:0,4:新宿
STATION:3,2:秋葉原
STATION:1,4:池袋2|屋台,1000,0.5|タワー,5000,0.2
STATION:0,5:品川
STATION:2,4:八王子
STATION:0,6:立川
STATION:7,0:八王子
STATION:6,1:渋谷
STATION:5,2:上野
STATION:3,4:早稲田
STATION:0,7:新宿
STATION:8,0:早稲田
STATION:3,5:東京
STATION:7,2:横浜
STATION:6,3:吉祥寺
STATION:9,1:品川|屋台,1000,0.5|タワー,5000,0.2
STATION:5,5:秋葉原
STATION:9,2:立川
STATION:6,5:上野
STATION:5,6:吉祥寺
STATION:4,7:池袋
STATION:3,8:早稲田
STATION:2,9:品川
